,parsing_datetime,code,type,strike,T,bid,ask,BA,volume,mid,spread_pct,moneyness
1823,2026-02-25 23:15:03.835527,SR300CC9,CALL,300.0,3.064,0.0,0.0,317.2,0,0.0,,1.0573333333333332
1824,2026-02-25 23:15:04.311865,SR350CR8,PUT,350.0,2.316,0.0,0.0,317.2,0,0.0,,0.9062857142857143
1825,2026-02-25 23:15:04.787562,SR390CF8,CALL,390.0,2.316,0.0,0.0,317.2,0,0.0,,0.8133333333333334
1826,2026-02-25 23:15:05.263529,SR125CX8,PUT,125.0,2.815,0.0,0.0,317.2,0,0.0,,2.5376
1827,2026-02-25 23:15:05.732706,SR220CR9,PUT,220.0,3.313,0.0,0.0,317.2,0,0.0,,1.4418181818181817
1828,2026-02-25 23:15:06.214988,SR240CI9,CALL,240.0,3.562,0.0,0.0,317.2,0,0.0,,1.3216666666666665
1829,2026-02-25 23:15:06.676419,SR215CC0,CALL,215.0,4.06,0.0,0.0,317.2,0,0.0,,1.4753488372093022
1830,2026-02-25 23:15:07.158139,SR160CO0,PUT,160.0,4.06,0.0,0.0,317.2,0,0.0,,1.9825
1831,2026-02-25 23:15:07.636400,SR330CF8,CALL,330.0,2.316,0.0,0.0,317.2,0,0.0,,0.9612121212121212
1832,2026-02-25 23:15:08.335342,SR240CR9,PUT,240.0,3.313,0.0,0.0,317.2,0,0.0,,1.3216666666666665
1833,2026-02-25 23:15:08.850265,SR120CC9,CALL,120.0,3.064,0.0,0.0,317.2,0,0.0,,2.643333333333333
1834,2026-02-25 23:15:09.319556,SR345CR9,PUT,345.0,3.313,0.0,0.0,317.2,0,0.0,,0.9194202898550724
1835,2026-02-25 23:15:09.792203,SR155CO8,PUT,155.0,2.048,0.0,0.0,317.2,0,0.0,,2.0464516129032257
1836,2026-02-25 23:15:10.264203,SR310CO6B,PUT,310.0,0.036,0.6,1.0,317.2,3,0.8,0.5,1.0232258064516129
1837,2026-02-25 23:15:10.739559,SR360CN6D,PUT,360.0,-0.003,0.0,0.0,317.2,0,0.0,,0.8811111111111111
1838,2026-02-25 23:15:11.216983,SR145CO0,PUT,145.0,4.06,0.0,0.0,317.2,0,0.0,,2.1875862068965515
1839,2026-02-25 23:15:11.696562,SR325CX8,PUT,325.0,2.815,0.0,0.0,317.2,0,0.0,,0.976
1840,2026-02-25 23:15:12.179563,SR375CF8,CALL,375.0,2.316,0.0,0.0,317.2,0,0.0,,0.8458666666666667
1841,2026-02-25 23:15:12.655692,SR85CF9,CALL,85.0,3.313,0.0,0.0,317.19,0,0.0,,3.7316470588235293
1842,2026-02-25 23:15:13.124611,SR135CL8,CALL,135.0,2.815,0.0,0.0,317.19,0,0.0,,2.3495555555555554
1843,2026-02-25 23:15:13.596070,SR370CO6B,PUT,370.0,0.036,2.5300000000000002,1015.2,317.19,0,508.865,1.9900563017696247,0.8572702702702703
1844,2026-02-25 23:15:14.070540,SR110CC9,CALL,110.0,3.064,0.0,0.0,317.19,0,0.0,,2.8835454545454544
1845,2026-02-25 23:15:14.543259,SR180CL8,CALL,180.0,2.815,0.0,0.0,317.19,0,0.0,,1.7621666666666667
